IDP,1,2,4,8,16,32,64,128
1,18.63868,9.32073,4.66070,2.33017,1.16559,0.59291,0.29599,0.14750
11,4.55894,2.27974,1.13793,0.57049,0.28573,0.14411,0.07220,0.03630
2,0.47635,0.23817,0.11905,0.05954,0.03038,0.01532,0.00767,0.00385
4,4.55782,2.27618,1.13799,0.57088,0.28583,0.14453,0.07228,0.03637
14,3.62944,1.81477,0.90722,0.45354,0.22707,0.11422,0.05714,0.02861
8,4.10518,2.05243,1.02613,0.51388,0.25701,0.12898,0.06458,0.03243
7,4.30086,2.15063,1.07508,0.53756,0.26880,0.13450,0.06727,0.03365
3,6.44833,3.22409,1.61211,0.80616,0.40319,0.20192,0.10100,0.05051
12,5.14759,2.57327,1.28670,0.64334,0.32173,0.16088,0.08048,0.04030
10,0.16304,0.08154,0.04077,0.02040,0.01022,0.00515,0.00266,0.00150
13,2.39010,1.19490,0.59746,0.29876,0.14934,0.07624,0.03798,0.01889
6,17.97549,17.99440,18.01946,18.03074,18.01457,18.00028,17.99351,17.99110
5,5.96738,2.98427,1.49205,0.74607,0.37313,0.18660,0.09335,0.04672
9,0.66359,0.33151,0.16650,0.08342,0.04218,0.02139,0.01074,0.00540
imp,12.42391,6.21139,3.10581,1.55312,0.77656,0.38842,0.19424,0.09716
ref,17.92412,8.99980,4.49311,2.24481,1.12632,0.56365,0.28260,0.14182
