IDP,1,2,4,8,16,32,64,128
2,4.7872,2.4886,1.3757,0.8042,0.5880,0.3796,0.2859,0.2630
3,5.4047,5.0469,2.6754,1.3897,0.7691,0.6310,0.4216,0.3245
6,42.3461,22.3697,16.2475,12.3142,15.0417,15.1193,14.8308,15.2567
8,5.4337,2.8600,1.6059,0.9192,0.7470,0.4424,0.2977,0.2486
9,4.7100,2.5261,1.3818,0.9104,0.8800,0.5781,0.6112,0.9540
10,-,-,-,-,-,-,-,-
11,9.3529,5.0423,2.8232,1.5215,0.9841,0.5872,0.3717,0.2924
14,5.0193,2.6419,1.4109,0.9121,0.7147,0.4328,0.3037,0.2672
radix-8,5.4198,2.8244,1.5820,1.0528,0.8611,0.5088,0.2883,0.1919
radix-1,30.2697,15.1896,7.7118,6.0483,6.0914,3.1291,2.7966,1.8968
