IDP,1,2,4,8,16,32,64,128
10,1.0000,1.9899,3.9829,7.9360,15.8362,31.0217,60.9922,130.7300
11,1.0000,1.9419,3.8989,7.6032,13.4064,18.5323,35.5609,61.9601
13,1.0000,1.9503,3.6799,7.2709,13.9477,24.6265,37.0169,38.9701
14,1.0000,1.9782,3.9146,7.8052,15.2657,28.0663,29.3782,29.9005
2,1.0000,1.8577,3.6246,6.7614,11.0160,13.8516,22.4601,28.8839
3,1.0000,1.9953,3.9437,7.7832,14.8750,26.5955,39.9103,40.9063
6,1.0000,1.9170,3.8101,7.4785,13.9799,22.7768,43.8456,82.4591
7,1.0000,1.5019,2.9999,6.0068,11.9544,13.3357,14.2839,12.9071
8,1.0000,1.9985,3.9788,7.9513,15.8915,31.8901,64.2890,129.6508
9,1.0000,1.9906,3.9833,7.9727,15.9279,31.8906,62.9125,124.3102
imp,1.0000,2.0045,3.9915,7.9254,15.8118,31.2722,62.0275,117.2708
ref,1.0000,1.9968,3.9945,7.9850,15.9715,31.9042,63.7999,127.5127
