IDP,1,2,4,8,16,32,64,128
10,19.5776,38.9577,77.9751,155.3685,310.0360,607.3308,1194.0830,2559.3846
11,10.9270,21.2195,42.6035,83.0798,146.4922,202.5032,388.5749,677.0392
13,17.8934,34.8972,65.8453,130.1012,249.5714,440.6507,662.3564,697.3057
14,22.0881,43.6952,86.4668,172.4021,337.1908,619.9321,648.9091,660.4467
2,13.9868,25.9838,50.6968,94.5703,154.0795,193.7397,314.1462,403.9946
3,14.7104,29.3516,58.0131,114.4943,218.8170,391.2296,587.0951,601.7467
6,8.2187,15.7554,31.3144,61.4637,114.8963,187.1955,360.3538,677.7069
7,4.0505,6.0836,12.1511,24.3306,48.4213,54.0163,57.8569,52.2800
8,4.2116,8.4171,16.7572,33.4882,66.9291,134.3095,270.7623,546.0427
9,15.6602,31.1738,62.3787,124.8537,249.4355,499.4148,985.2255,1946.7274
imp,61.0406,122.3528,243.6429,483.7696,965.1612,1908.8744,3786.1971,7158.2788
ref,0.1600,0.3195,0.6391,1.2776,2.5554,5.1045,10.2077,20.4015
